No,Crypto,Close,Volume,Market Cap,Return,Volatility
90,Sei,0.17361,117573065.37,1042625839.04,-0.001681,0.048797
91,Jupiter,0.330793,47493023.46,1029885563.69,-0.000925,0.049721
92,Pudgy Penguins,0.015949,291237810.35,1002549133.76,0.001316,0.067394
93,Ripple USD,0.999826,122874815.09,1002435707.75,0.0,0.000341
94,Artificial Superintelligence Alliance,0.422404,127972662.52,996391799.77,-0.000718,0.059964
95,XDC Network,0.055303,32447408.39,977858936.06,-0.001565,0.0338
96,Liquid Staked ETH,3213.985694,824551.9,930409889.13,0.000998,0.037293
97,First Digital USD,0.998399,3888161509.59,924259248.99,-2e-06,0.000534
98,SolvBTC,94891.2288,491860.91,888803156.69,-0.000405,0.021544
99,Mantle Staked Ether,3204.647698,2148580.84,872589321.82,0.000981,0.036198
100,Midnight,0.052184,288526315.88,866622661.65,0.003358,0.097662
101,Ondo US Dollar Yield,1.109737,1381098.65,851124900.26,0.000121,0.003614
102,Lista Staked BNB,815.343002,481474.62,836479038.2,0.002268,0.063166
103,Celestia,1.094738,79506196.55,819608547.72,-0.003137,0.058112
104,Injective,8.066209,101616202.09,806384575.1,0.000423,0.052526
105,United Stables,0.999708,178570782.19,800437405.78,-5e-06,0.000317
106,Stacks,0.469568,29291066.3,800335099.26,-0.002098,0.04485
107,Optimism,0.426048,144644836.24,771833564.72,-0.00322,0.053368
108,USDD,0.999862,11702962.72,769261700.68,-2e-06,0.001039
109,SPX6900,0.813962,35704848.25,757796831.67,0.001195,0.071598
110,Immutable,0.384486,37044943.07,740542287.54,-0.001726,0.053418
111,Virtuals Protocol,1.108588,175165850.65,726503467.68,0.000878,0.072614
112,PancakeSwap,2.123421,93200477.95,713601856.06,0.000239,0.045824
113,Jupiter Staked SOL,162.790841,6419219.11,706741386.8,-0.000579,0.037184
114,Venus BTC,1928.464129,38.68,704114772.33,-8e-06,0.035066
115,Curve DAO Token,0.503265,134306951.16,703273916.52,-0.001532,0.049353
116,slisBNBx,783.051692,14944244.22,703232598.7,0.00082,0.027825
117,Nexo,1.074096,10965650.46,694020627.11,-0.000648,0.022098
118,Bitcoin TRC20,94983.341705,185790.2,680326748.75,-0.000389,0.021469
119,StakeWise Staked ETH,3132.975597,171266.71,653780426.05,0.000994,0.037875
120,DeXe,7.649158,16150886.99,640493449.3,0.002949,0.060704
121,Lido DAO,0.721538,88687055.96,638853601.58,-0.000844,0.054637
122,The Graph,0.060928,34984279.16,627899433.01,-0.002353,0.043919
123,FLOKI,6.4e-05,88443292.49,611705282.18,-0.00121,0.054707
124,Morpho,1.672914,33019461.14,605691674.25,0.002883,0.054509
125,Aerodrome Finance,0.682083,47268237.83,605347285.59,0.000892,0.062387
126,Kaia,0.098663,28891422.2,604962202.98,-0.000947,0.052063
127,Tezos,0.550171,30521986.14,584376666.76,-0.000438,0.043822
128,Fartcoin,0.582185,137840353.65,582174646.16,-0.001842,0.077078
129,Beldex,0.077675,10152646.43,578529738.87,0.000545,0.017946
130,Wrapped XTZ,0.550399,1636415.68,568486997.74,-0.000438,0.04374
131,Function,94979.336885,145588.28,556767422.66,-8.3e-05,0.026171
132,Sonic,0.192397,66495422.19,554104040.18,-0.004981,0.05337
133,Ethereum Name Service,14.628232,63977414.08,543828359.4,-0.001859,0.043835
134,dogwifhat,0.542918,214111787.57,542289794.7,-0.000877,0.063383
135,IOTA,0.130383,21516832.1,525673147.22,-0.002264,0.041026
136,Venus BNB,19.467185,511823137.86,518348882.56,0.000789,0.026834
137,Pyth Network,0.092614,47953641.06,517472339.58,-0.001052,0.073678
138,Stable,0.025346,178068063.8,514593412.01,0.004117,0.082639
139,JasmyCoin,0.010248,32886164.1,506720249.12,-0.001617,0.048595
140,TrueUSD,0.99799,33062222.89,493634551.8,0.0,0.000701
141,Theta Network,0.492765,24682014.12,492765001.01,-0.00224,0.049019
142,BitTorrent [New],0.0,17019647.27,492027261.96,-0.001766,0.023695
143,The Sandbox,0.187066,54761541.37,489787057.06,-0.00253,0.0454
144,Conflux,0.094898,53991428.5,487918649.55,0.001173,0.075892
145,Pendle,2.916704,68643032.22,485061540.95,-0.00085,0.052994
146,Raydium,1.740991,55040362.02,474014222.66,-0.002136,0.051774
147,Gala,0.010236,64295981.65,468975334.89,-0.002914,0.049979
148,ether.fi Staked ETH,2967.612427,34045.31,468196091.8,0.000896,0.036281
149,Dash,36.778192,135186349.22,460080294.8,0.003918,0.075103
150,ether.fi,0.864771,85434574.07,453001194.29,0.000932,0.065469
151,Bitcoin SV,22.697195,36716994.32,452406467.55,-0.00184,0.03817
152,DoubleZero,0.129151,56657860.04,448335353.91,-0.006057,0.057195
153,AB,0.005789,78066818.41,445876345.93,-0.00367,0.060124
154,Vaulta,0.277186,34251632.82,441232324.62,-0.005317,0.040796
155,Stader ETHx,3190.250322,99272.84,438990747.08,0.000982,0.036523
156,LayerZero,1.848998,55678558.24,425691310.44,-0.001108,0.049821
157,Starknet,0.099709,64289023.76,420358640.85,-0.001395,0.063006
158,JUST,0.045056,36639649.33,418656513.59,0.002706,0.028531
159,Coinbase Wrapped Staked ETH,3299.484686,7745676.94,407626832.7,0.001007,0.036428
160,Maple Finance,0.347631,46910163.31,403031018.72,0.001748,0.054087
161,Decentraland,0.202092,34013671.92,397898733.62,-0.002339,0.042304
162,Chiliz,0.03944,58915865.79,395776420.59,0.000565,0.045464
163,Jito,1.048689,37979201.08,389590508.29,-0.00129,0.061188
164,AINFT,0.0,29289144.8,387075474.61,-0.000959,0.015558
165,Plasma,0.214669,358930262.97,386406819.34,-0.007631,0.077655
166,GHO,0.999371,2212852.78,385740120.36,-1e-06,0.000664
167,Walrus,0.261343,52974615.4,384129843.81,-0.004359,0.053239
168,Sun [New],0.020003,41200131.16,384015323.65,0.000664,0.033896
169,Helium,2.054029,8165825.42,380593326.02,-0.003073,0.04876
170,Telcoin,0.003987,2255377.04,368203313.04,0.000247,0.065649
171,Wrapped Chiliz,0.03944,49697.59,363114811.53,0.000537,0.044932
172,edgeX,1.116068,90953248.17,353752062.76,0.014082,0.09362
173,Lighter,1.380951,43640655.16,345243308.59,-0.002172,0.066649
174,Gnosis,128.385648,5038072.2,338594681.17,0.000659,0.034836
175,Trust Wallet Token,0.793677,21540043.68,337501748.42,-0.000613,0.040499
176,Decred,19.288245,6677130.52,330606113.14,0.002253,0.064282
177,Onyxcoin,0.009404,23262416.88,330190188.15,-0.001818,0.061513
178,Onyxcoin,0.009404,23262416.88,330190188.15,-0.001818,0.061513
179,Neo,4.656286,30039572.77,328449991.72,-0.001223,0.039958
180,DeepBook Protocol,0.088336,25429916.89,327882753.62,-0.00305,0.06116
181,THORChain,0.91879,69860979.79,322758390.74,-0.002078,0.041166
182,Compound,33.390012,47112333.65,319131449.94,-0.001032,0.044035
183,EURC,1.16338,47980574.26,318491156.71,6.4e-05,0.003669
184,HTX,2e-06,31721110.58,318424319.05,0.000315,0.01986
185,Vision,0.094435,14516329.96,303986454.56,-0.003909,0.034266
186,EigenCloud,0.802109,73068687.9,300379321.74,-0.001469,0.068345
187,Zebec Network,0.003276,19769024.31,298302301.68,0.00499,0.074833
188,ZKsync,0.039378,45030653.02,295543559.97,-0.001324,0.070802
189,Axie Infinity,1.773453,58999887.98,295130542.45,8.1e-05,0.064318
190,Arweave,4.481502,38973845.74,294222629.94,-0.001004,0.060895
191,Legacy Frax Dollar,0.995609,2752357.97,289450392.64,-2.3e-05,0.000924
192,Humanity,0.121076,68643297.4,286451396.06,0.020924,0.193196
193,Terra Classic,5.2e-05,27773699.77,285320517.7,0.002789,0.06569
194,eCash,1.4e-05,9388032.99,284405865.7,-0.00234,0.033995
195,Aethir,0.023515,38629652.73,284248803.6,-0.00227,0.060642
196,Reserve Rights,0.004738,18657773.62,282366924.24,-0.002898,0.053222
197,BUILDon,0.282082,35638007.91,281875586.6,0.02387,0.207138
198,Monad,0.025249,122063454.86,281138452.78,0.001165,0.072472
199,ApeCoin,0.369822,39434438.62,280799863.91,-0.001657,0.062017
200,MultiversX,9.733734,18020624.31,279213265.05,-0.002858,0.045175
201,dYdX,0.353946,15734933.77,277753358.94,-0.001455,0.055848
202,Kite,0.149705,100029882.17,269473081.56,0.007234,0.072619
203,Billions Network,0.108976,886633201.08,264646559.5,0.040482,0.218915
204,Convex Finance,2.54028,16286296.62,249319036.4,0.000272,0.057539
205,1inch,0.175474,23221554.74,245201210.79,-0.001085,0.047313
206,Nexus,4e-06,82556027.31,245151316.69,-0.033357,0.098957
207,Falcon Finance,0.098837,122371720.93,231278605.38,-0.001498,0.074588
208,RaveDAO,0.938589,76930319.67,229500380.53,0.035913,0.297377
209,Basic Attention Token,0.151138,23571861.62,226057766.0,0.000606,0.049829
210,0G,1.046079,82207801.74,223060240.03,-0.007094,0.072381
211,LAB,0.784082,41363671.36,222637010.9,0.033934,0.209123
212,River,11.260821,34494248.79,220745190.27,0.017534,0.170572
213,KAITO,0.900856,55474899.74,217456823.89,0.00036,0.063724
214,FTX Token,0.660109,10772464.31,217106707.2,-0.001506,0.053094
215,Akash Network,0.822258,12830556.19,216379201.31,0.00026,0.056433
216,c8ntinuum,0.08613,1395325.07,210836846.24,0.005196,0.07693
217,WEMIX,0.464953,3384659.51,210523715.15,-0.001005,0.055236
218,Golem,0.207809,12832491.74,207809471.19,-0.000997,0.039434
219,OriginTrail,0.412021,6248184.17,205988007.16,0.001536,0.058664
220,MX Token,2.202176,12644569.13,204632016.11,-0.000983,0.019022
221,Synthetix,0.59127,35050262.91,202927709.1,2.4e-05,0.072036
222,Livepeer,4.495726,53469810.76,201528732.97,0.000193,0.079161
223,Berachain,1.463227,61865578.97,198053365.7,-0.003352,0.077271
224,Cheems (cheems.pet),1e-06,5103275.08,196788844.23,-0.000554,0.05498
225,SafePal,0.390826,5077428.85,195412700.04,-0.000751,0.037772
226,Genius Terminal,0.563383,283520019.98,188962498.79,0.002585,0.113357
227,#U5e01#U5b89#U4eba#U751f,0.184393,46847911.48,184383842.26,0.063662,0.517915
228,siren,0.249971,19520853.2,182110588.6,0.024655,0.244619
229,Safe,0.27588,12531730.4,174958724.73,-0.002654,0.047472
230,Venice Token,4.195521,13746258.02,173304849.53,0.006826,0.080488
231,Grass,0.687334,35031484.83,167643976.76,-0.000151,0.075555
232,Fluid,3.700132,8654378.51,157758689.79,-0.001166,0.057123
233,Sentient,0.020727,107769112.2,150014853.89,-0.003406,0.063544
234,Horizen,8.465888,48061238.88,146348544.53,0.000832,0.062286
235,USDGO,0.9999,6574031.92,142011664.33,-1e-06,0.000314
236,Audiera,0.691686,88966987.53,132684618.63,0.025717,0.176696
237,Unibase,0.052706,26459644.8,131757710.02,0.013449,0.114953
238,Wrapped HYPE,38.686921,47122724.05,124051298.01,0.002702,0.05003
239,NEXPACE,0.603525,67181016.54,123796976.04,-0.003594,0.047503
240,AWE,0.060684,16203213.66,117873563.08,0.001264,0.050281
241,ETHGas,0.066638,45802273.69,116621095.72,0.016141,0.113341
242,Pieverse,0.55851,45031385.45,112884222.63,0.019099,0.176429
243,Centrifuge,0.19614,11441028.0,110980708.23,0.00455,0.081423
244,Solstice USX,1.000002,3243167.92,93010583.05,-1e-05,0.000732
245,Stargate Finance,0.170652,9364234.13,92495152.36,0.003027,0.058964
246,Yooldo,0.308473,116985816.52,91863724.07,0.007705,0.102533
247,Ducky,0.000196,90177.62,81246646.1,0.458387,6.260876
248,SKYAI,0.076282,30465707.05,75801130.02,0.010689,0.133417
249,Banana For Scale,0.006764,33235407.72,67643767.58,0.007569,0.106208
250,Tagger,0.000543,10771459.55,57394417.63,0.014905,0.127572
