No,Nama,Jenis,Return_Tahunan,Volatilitas,Likuiditas,Regulasi,Kemudahan_Modal
185,Saham TOTAL,Saham,15.2,22.4,3,5,4
186,Saham ACES,Saham,11.4,24.5,4,5,4
187,Emas Batangan Antam 10g,Emas,11.3,8.4,4,5,2
188,Emas Batangan Antam 50g,Emas,11.5,8.3,4,5,1
189,Reksadana Schroder Dana Kas,Reksa Dana,4.5,0.9,5,5,5
190,Reksadana BNI-AM Pasar Uang,Reksa Dana,4.8,1.0,5,5,5
191,Aave V2 (AAVE),Crypto,38.2,60.4,3,2,5
192,Synthetix (SNX),Crypto,44.1,72.1,3,2,5
193,Saham MAPI,Saham,22.4,28.1,4,5,4
194,Saham MAPA,Saham,26.5,31.4,3,5,4
195,Saham ERAA,Saham,4.2,25.2,4,5,4
196,Saham LPPF,Saham,-15.4,41.2,4,5,4
197,Emas UBS 5g,Emas,11.0,8.5,3,5,2
198,Emas UBS 25g,Emas,11.2,8.4,3,5,1
199,Reksadana Eastspring Pasar Uang,Reksa Dana,4.9,0.9,5,5,5
200,Reksadana Trimegah Kas,Reksa Dana,5.1,1.1,5,5,5
201,Fantom V2,Crypto,59.4,67.2,3,2,5
202,Curve DAO (CRV),Crypto,12.5,68.4,3,2,5
203,Saham EXCL,Saham,8.5,21.4,4,5,3
204,Saham ISAT,Saham,34.2,26.5,4,5,3
205,Saham FREN,Saham,-40.0,72.1,4,5,5
206,Saham TLKM Sub,Saham,6.2,18.2,4,5,4
207,Emas Tamasia,Emas,10.5,8.8,3,5,5
208,Emas Jejak,Emas,10.4,8.9,3,4,5
209,Reksadana Bahana Kas,Reksa Dana,4.7,1.0,5,5,5
210,Reksadana Danareksa Kas,Reksa Dana,4.6,1.0,5,5,5
211,Lido DAO (LDO),Crypto,71.2,74.5,3,2,5
212,Rocket Pool (RPL),Crypto,48.5,69.2,3,2,5
213,Saham TOWR,Saham,4.2,16.5,4,5,4
214,Saham TBIG,Saham,5.8,19.2,4,5,4
215,Saham MTEL,Saham,7.1,14.2,4,5,4
216,Saham BTPS,Saham,-14.2,32.4,4,5,4
217,Emas Bullion,Emas,11.6,8.2,2,5,1
218,Emas MiniGold,Emas,9.8,8.8,3,4,5
219,Reksadana Sucorinvest Sukuk,Reksa Dana,7.4,2.5,4,5,5
220,Reksadana Mandiri Obligasi,Reksa Dana,6.8,2.8,4,5,5
221,Frax Share (FXS),Crypto,33.2,71.4,3,2,5
222,Loopring (LRC),Crypto,21.5,64.2,3,2,5
223,Saham KLBF Sub,Saham,5.7,12.5,4,5,3
224,Saham SIDO,Saham,12.4,18.2,4,5,4
225,Saham KAEF,Saham,-25.4,48.2,3,5,4
226,Saham INAF,Saham,-32.1,52.4,3,5,4
227,Emas Logam Mulia 1g,Emas,11.0,8.5,4,5,3
228,Emas Logam Mulia 5g,Emas,11.2,8.4,4,5,2
229,Reksadana Schroders Sukuk,Reksa Dana,7.1,2.4,4,5,5
230,Reksadana Manulife Obligasi Negara,Reksa Dana,6.2,2.1,4,5,5
231,Enjin Coin (ENJ),Crypto,18.4,66.2,4,2,5
232,Gnosis (GNO),Crypto,25.1,54.1,3,2,5
233,Saham ADRO Sub,Saham,25.1,28.2,4,5,4
234,Saham PTBA Sub,Saham,22.2,26.2,4,5,3
235,Saham ITMG Sub,Saham,27.9,24.3,4,5,3
236,Saham BUMI,Saham,50.0,78.2,5,5,5
237,Emas UBS 1g,Emas,10.8,8.6,4,5,3
238,Emas Antam 0.5g,Emas,10.2,8.5,4,5,4
239,Reksadana BNP Paribas Obligasi,Reksa Dana,6.9,2.6,4,5,5
240,Reksadana Batavia Obligasi,Reksa Dana,6.4,2.3,4,5,5
241,Basic Attention Token (BAT),Crypto,14.5,51.2,4,3,5
242,0x (ZRX),Crypto,22.1,58.4,3,2,5
243,Saham UNVR Sub,Saham,-4.4,19.3,4,5,4
244,Saham ICBP Sub,Saham,9.6,13.6,4,5,3
245,Saham INDF Sub,Saham,7.3,14.6,4,5,3
246,Saham MYOR Sub,Saham,11.1,16.3,4,5,3
247,Emas Digital Treasury C,Emas,10.6,8.7,4,5,5
248,Emas Digital Pegadaian C,Emas,10.8,8.5,4,5,5
249,Reksadana Syailendra Campuran,Reksa Dana,11.4,8.5,4,5,5
250,Reksadana Sucorinvest Anak Bangsa,Reksa Dana,14.5,13.1,4,5,5
